player,passes,successful_passes,pass_accuracy,shots,goals,dribbles,pressures,interceptions,ball_recoveries,duels,blocks,fouls_won,fouls_committed,cluster,role
Abdoul Karim Yoda,29.22222222222222,21.77777777777778,69.65666666666667,0.4444444444444444,0.0,3.7222222222222223,9.555555555555555,1.2222222222222223,3.7222222222222223,1.7777777777777777,1.1111111111111112,0.5555555555555556,0.8888888888888888,4,Utility
Abdoulaye Doucouré,38.46666666666667,32.13333333333333,80.37333333333332,0.6666666666666666,0.0,1.2,19.066666666666663,1.5333333333333334,6.733333333333333,3.533333333333333,1.8,0.5333333333333333,1.3333333333333333,1,Midfielder
Abraham González Casanova,26.55,20.7,72.0575,0.8,0.05,0.3,10.35,1.25,2.8,2.3,1.2,0.45,0.7,4,Utility
Adalberto Peñaranda Maestre,16.565217391304348,12.0,68.34478260869565,0.9565217391304348,0.217391304347826,2.869565217391304,17.26086956521739,0.391304347826087,3.0869565217391304,5.173913043478261,1.7391304347826086,1.7826086956521738,2.782608695652174,2,Attacker
Aderllan Leandro de Jesus Santos,38.64705882352941,32.05882352941177,81.99823529411765,0.4705882352941176,0.0,0.5294117647058824,10.0,2.4705882352941178,3.1176470588235294,4.0588235294117645,2.0,0.3529411764705882,0.7647058823529411,4,Utility
Adil Rami,39.25,30.75,77.06964285714285,0.5714285714285714,0.0,0.1785714285714285,4.857142857142857,0.9642857142857144,3.9642857142857144,1.5714285714285714,1.2857142857142858,0.6785714285714286,0.9642857142857144,4,Utility
Adnane Tighadouini,14.6,8.8,53.05,1.5,0.1,3.4,4.8,0.0,2.2,1.4,0.3,0.6,0.5,0,Defender
Adriano Correia Claro,45.125,40.75,87.905,0.125,0.0,0.375,7.25,0.5,3.0,1.375,0.875,0.875,1.125,4,Utility
Adrián Embarba Blázquez,27.178571428571427,17.142857142857142,63.00714285714286,1.4285714285714286,0.0714285714285714,2.5,12.607142857142858,0.9642857142857144,3.821428571428571,4.321428571428571,1.1428571428571428,1.25,1.1071428571428572,2,Attacker
Adrián González Morales,32.1875,22.875,72.2025,1.46875,0.15625,0.90625,11.90625,0.84375,3.9375,3.375,1.5625,0.53125,1.46875,4,Utility
